用户名,帖子内容,留言用户名,留言时间,留言内容
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['郑长的长'],['22-3-4 21:50'],['就很感动']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['枝衔月'],['22-3-4 21:50'],['哇噻']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['蔡徐坤的愣愣1992'],['22-3-4 21:48'],['加油！']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['伟松山湖'],['22-3-4 21:47'],['夜空中最亮的星']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['方糖dayz_'],['22-3-4 21:46'],['那声加油真的好好哭']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['轮流做天使'],['22-3-4 21:46'],['加油']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['凡玢'],['22-3-6 10:04'],['破防啊']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['·芋头泥的小甜豆·'],['22-3-4 21:42'],['好感动']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['Riseupwithardour'],['22-3-4 21:42'],['谁破防了']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['星河入画光'],['22-3-4 21:43'],['从那声加油起就哭了  奥林匹克啊']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['挽凝如故'],['22-3-4 21:44'],['这个过程很艰辛，但只要坚持不放弃']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['IEWYOU'],['22-3-4 21:44'],['破防了，想到08年的残奥会点火']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['姚晨的仙女'],['22-3-4 21:45'],['太感动了']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['不知道0417'],['22-3-4 21:52'],['他叫李瑞:loudly_crying_face:']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['·冬日恋猫·'],['22-3-4 21:56'],['好感动 ']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['禾一先生ly'],['22-3-4 22:04'],['图片怎么花了？？']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['霞山小麦'],['22-3-4 22:40'],['动不动就破防，动不动就破防，其实你根本就没底线']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['新月向北'],['22-3-4 21:39'],['心里有光']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['月明圆峤'],['22-3-4 21:40'],['是真的']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['大地湾浪人'],['22-3-4 21:40'],['那一声加油，泪奔了']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['WowkieY'],['22-3-4 21:42'],['好感动，大家没有催促，只是为他加油']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['宁檬糖呀'],['22-3-4 21:42'],['好感动']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['皮薄陷多大肉包'],['22-3-4 21:43'],['破防']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['·Joker凯源玺·'],['22-3-4 21:45'],['泪崩只在一瞬间']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['小点儿sun小点儿'],['22-3-5 23:58'],['感动，']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['海护法'],['22-3-5 20:54'],['//@果味兔芽糖:他看不到光却为我们点亮星空']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['nannnnnni'],['22-3-5 03:27'],['44']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['笔在心中'],['22-3-5 07:52'],['那声加油真的好感动']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['哇嘎哩貢阿'],['22-3-4 23:35'],['加油！雪容融雪容融雪容融']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['M是姐姐soso'],['22-3-4 21:57'],['致敬！']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['宋祖德'],['22-3-4 21:59'],['我被盲人火炬手感动得泪流满面，真的太感人了！！！未来十天，中国残奥运动员一定能多拿奖牌！！！']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['JUST萱萱萱萱'],['22-3-4 21:59'],['我真的哭了']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['Jw_小乌'],['22-3-4 22:01'],['一声“加油”瞬间破防 祝所有运动员们在比赛中都能取得好成绩， 加油！雪容融雪容融']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['Komore_biiii'],['22-3-4 22:08'],['太破防了']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['北京便衣反扒-电话13810237160'],['22-3-4 22:11'],['转发微博']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['喝完养乐多就去睡觉'],['22-3-4 22:15'],['对我们来说这是一件多么简单容易的事情，可是他却付出了很大的努力，微光虽小，但绵延不息，加油！']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['守护十年的橙诺'],['22-3-4 22:18'],[':China::flexed_biceps:']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['凉一鱼'],['22-3-4 22:29'],['感动']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['饕餮盛宴HEBFC'],['22-3-4 22:30'],['转发微博']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['Shoandaiba'],['22-3-4 22:35'],['加油！']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['叽叽喳喳碎碎念嗯'],['22-3-4 22:41'],['精神很感动啊真的']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['一只炸羊腿'],['22-3-4 22:46'],['刚刚看直播直接哭了']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['小翎儿吖吖'],['22-3-4 23:03'],[':red_heart:']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['窝素流苏苏苏'],['22-3-4 23:04'],['呜呜呜呜呜呜呜呜呜加油！:China:']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['工作的兔纸'],['22-3-4 23:09'],['转发微博']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['金枪鱼里不放蛋黄酱'],['22-3-4 23:16'],['泪目']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['小可爱的彩虹蛋糕'],['22-3-4 21:57'],['加油！！！！']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['独角兽eleven'],['22-3-4 21:57'],['泪目…']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['七彩麻辣小汤圆'],['22-3-4 21:57'],['加油哇，你们就是光']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['冯喜喜leo'],['22-3-4 21:52'],['哭死我了呜呜呜']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['_狂野小師妹'],['22-3-4 21:53'],['破防了淚 加油']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['博仕门窗'],['22-3-4 21:54'],['即使自己的世界一片黑暗，也不放弃追寻光明']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['余军AIL'],['22-3-4 21:55'],['加油加油']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['深情的安安i'],['22-3-4 21:56'],['加油！雪容融']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['浙江大学苏德矿'],['22-3-4 21:56'],['转发微博']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['Mxxxseol'],['22-3-4 21:56'],['我是真哭了']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['幸福zhu妮'],['22-3-4 21:53'],['向所有冬残奥健儿们致敬！']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['小猪佩齐啦'],['22-3-4 21:54'],['那句“加油”真的瞬间感动到破防，那就是光']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['雾茗_Wenny'],['22-3-4 21:54'],['刚刚那声加油 盲人火炬手的动作让我破防了']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['思想杂谈'],['22-3-4 21:54'],['转发微博']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['午后的jojo姐'],['22-3-4 21:50'],['确实好感动']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['肥丸丸丸'],['22-3-4 21:50'],['哎']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['许愿帽一起歪歪戴-'],['22-3-4 21:50'],['卧槽']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['花浅觅'],['22-3-4 21:51'],['真的很感动']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['D喝奶茶的小糖糕C'],['22-3-4 21:52'],['心中有光']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['只有现'],['22-3-4 21:47'],['加油加油加油加油:fuel_pump:无论如何，重在参与，精神体现了就好']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['热心网友小蓝_'],['22-3-4 21:47'],['//@果味兔芽糖:他看不到光却为我们点亮星空']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['雪山白马少年'],['22-3-4 21:47'],['他点亮了我们的星空 也点亮了他自己的星光']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['边塞派alex'],['22-3-4 21:48'],['真的瞬间就泪目了']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['夏日限定航迹'],['22-3-4 21:48'],['被点亮的不止一种光']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['翮演'],['22-3-4 21:48'],['这一幕确实很感人']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['名字不重要请看图非非'],['22-3-4 21:48'],['加油！']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['与俊同光'],['22-3-4 21:48'],['这就是残奥会存在的意义，不服输']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['吧唧一口奶蔻面包'],['22-3-4 21:49'],['太感人了']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['云上绘景'],['22-3-4 21:49'],['加油真的破防了']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['淡然的眼神'],['22-3-4 21:49'],['好剧本  有感染力']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['D调的华丽GX'],['22-3-4 21:49'],['对于盲人来说，插主火炬是真的难']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['小咸鱼吃芒果'],['22-3-4 21:49'],['加油']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['这是未来的秘密'],['22-3-4 21:49'],['好']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['H_黄景瑜的生命粉'],['22-3-4 21:50'],['淚淚淚淚淚淚淚']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['共长龙弓'],['22-3-4 21:50'],['一直在说加油！心被牵动，感人肺腑，加油！']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['kahoyuumi'],['22-3-4 21:46'],[':cat_with_tears_of_joy::thumbs_up::red_heart:']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['幽默2046'],['22-3-4 21:46'],['明知山有虎偏向虎山行，太感动了。。']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['暨南数码'],['22-3-4 21:47'],['之前不是传冰壶碰撞点燃吗？']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['NBCSSWT'],['22-3-4 21:47'],['真的破防了  泪目了']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['小巴今天发vlog了吗'],['22-3-4 21:43'],['加油']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['与期qi阿淇'],['22-3-4 21:44'],['我们一起向未来，我们才是带着所有人，一起去未来啊']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['·九号宇航员·'],['22-3-4 21:44'],['破防了']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['Nov·星'],['22-3-4 21:44'],['加油声和掌声太暖了']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['Candy_Lau心'],['22-3-4 21:44'],['加油']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['菜小姐超爱玩'],['22-3-4 21:44'],['从开始哭到结束']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['只想做1条小咸鱼'],['22-3-4 21:45'],['那一声加油，给了他黑暗中的安心，也给了我们团结努力的决心！']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['我会追逐你的光一直一直'],['22-3-4 21:43'],['光不一定要用眼睛看见']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['闪着光坠落·'],['22-3-4 21:43'],['真的破防了']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['琰琰珠瓅'],['22-3-4 21:43'],['加油']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['X就此结束'],['22-3-4 21:44'],['看哭了#被盲人火炬手一声加油整破防了# 雪容融雪容融雪容融']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['BanList'],['22-3-4 21:43'],['当听到那声加油的时候被感动了 我也在电视机前喊了加油加油']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['陈元元元豹子'],['22-3-4 21:43'],['蹲下的带领员，呼喊加油的观众，努力完成圣火传递任务的李端！中国人太棒了！！！']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['·银河系救赎·'],['22-3-4 21:43'],['呜呜呜破防:plus:感动我们都要加油！']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['子閎閎的仙儿'],['22-3-4 21:43'],['加油！！！好感动啊淚淚']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['躺平冲浪'],['22-3-4 21:41'],['真的看哭了这里']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['独自坚强打拼天赋异禀76868'],['22-3-4 21:41'],['心不盲。']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['10樓的喵'],['22-3-4 21:41'],['听到那声加油我直接大哭']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['波猪i'],['22-3-4 21:41'],['破防了 那一声加油太好哭了']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['薛之谦没有之一的阿姨'],['22-3-4 21:41'],['我哭了']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['酸奶是最帅的呀'],['22-3-4 21:41'],['“加油”']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['抹茶奶盖挞'],['22-3-4 21:41'],['泪崩了']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['夏目hanae_'],['22-3-4 21:41'],['我当时差点哭了']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['F淡忘如思'],['22-3-4 21:41'],['加油']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['法治四川'],['22-3-4 21:41'],['是的，哭了…祝福！致敬！！雪容融冰墩墩']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['周雪松'],['22-3-4 21:42'],['加油，你们是最棒的']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['时顷Hannah'],['22-3-4 21:42'],['真的破防']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['小莫加菲CupidZY'],['22-3-4 21:42'],['这就是永不放弃的精神']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['水钻Li'],['22-3-4 21:42'],['真的哭了！']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['呆子子子zZ'],['22-3-4 21:42'],['加油！']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['Rocky铁臂小佳琪LT'],['22-3-4 21:42'],['泪目']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['M洋咩W'],['22-3-4 21:42'],['那声声加油，那全场的掌声！我永远被中国人的善良感动']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['怡怡有一'],['22-3-4 21:41'],['真的好感动！']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['顺毛的洛布朗_'],['22-3-4 21:41'],['加油']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['郭思治or冶'],['22-3-4 21:41'],['哭死好感动！！中国永远强大！']
['人民日报'],['【泪目！#被盲人火炬手一声加油整破防了#】最后一棒，#全场观众为盲人火炬手找火炬台加油#。网友：真的哭出来……（王亮） '],['西惜熙曦'],['22-3-4 21:41'],['加油']
